,City,Title,Company,Location,Summary,Salary,URL
242,Seattle,Receptionist,Coffman Engineers,"Seattle, WA 98101 (Downtown area)","As part of the application process, you will be asked to create a user profile that allows you to manage the application process, answer a few questions, attach...",,http://indeed.com/rc/clk?jk=f9178ca18758a25b&fccid=e36a04ed8eccdf02&vjs=3
243,Seattle,Social Community Manager,Amazon.com,"Seattle, WA",Amazon Music is looking for a creative and organized social media editor to publish content and engage with our followers across all Amazon Music social...,,http://indeed.com/rc/clk?jk=6a4c8ecdf5973323&fccid=fe2d21eef233e94a&vjs=3
244,Seattle,Communication Center Dispatcher,Seattle University,"Seattle, WA","Provide information assistance to general public inquiries.Receive, prioritize, and route emergency telephone calls from the public to appropriate departments....",,http://indeed.com/rc/clk?jk=939f1c3e082079bb&fccid=c1646e4b0652c842&vjs=3
245,Seattle,Medical Coding Specialist,Department of Labor,"Seattle, WA","Oral Communication - Expresses information (for example, ideas or facts) to individuals or groups effectively, taking into account the audience and nature of...",,http://indeed.com/rc/clk?jk=2a614c6fbb357309&fccid=bbb3594ec86438e6&vjs=3
246,Seattle,"Whole Foods Market Hiring Day - Interbay - Seattle, WA",Whole Foods Market,"Seattle, WA 98119 (Queen Anne area)","Completion of certain milestones such as obtaining an advanced degree or certification, time in current position, or developing skills to perform at the higher...",,http://indeed.com/rc/clk?jk=69b2ce2e52196c36&fccid=ea10be8bb95dc939&vjs=3
247,Seattle,"Whole Foods Market Hiring Day - Westlake - Seattle, WA",Whole Foods Market,"Seattle, WA 98121 (Belltown area)","Completion of certain milestones such as obtaining an advanced degree or certification, time in current position, or developing skills to perform at the higher...",,http://indeed.com/rc/clk?jk=0e63c0c6d8f952b2&fccid=ea10be8bb95dc939&vjs=3
248,Seattle,Executive Office Administrator,BOEING,"Seattle, WA","Coordinates and processes domestic and international business travel arrangements, monitors designated business traveler's logistics, generates expense reports...",,http://indeed.com/rc/clk?jk=6e0a2674e357722a&fccid=edae4285faf6c2f0&vjs=3
249,Seattle,PATIENT SERVICES SPECIALIST 1-TRAINEE OR PSS 2,University of Washington,"Seattle, WA","Handling all unit paperwork (i.e., including chart maintenance and patient information, etc.), triaging telephone calls, accessing and entering information in...",,http://indeed.com/rc/clk?jk=f5aa98263ecb0849&fccid=142783ac2edbe56b&vjs=3
250,Seattle,Full-time opportunities for students & recent graduates: Information Technology (IT) & Operations,Microsoft,"Redmond, WA 98052","Design, configure, and support infrastructure. Work hands on with systems, platforms, and internal Microsoft applications in a high-stakes environment with the...",,http://indeed.com/rc/clk?jk=38b0eab2768e0a7b&fccid=734cb5a01ee60f80&vjs=3
251,Seattle,Talent Programs and Events Specialist,Google,"Seattle, WA","Whether recruiting the next great Googler, refining our core programs, developing talent or simply looking for ways to inject some more fun into the lives of...",,http://indeed.com/rc/clk?jk=e080854250e13368&fccid=a5b4499d9e91a5c6&vjs=3
252,Seattle,SERVICE DESK ANALYST,University of Washington,"Seattle, WA","The Service Desk Analyst requires a high level of customer service, technical skill, ability to continuously improve service quality, consistency, learn new...",,http://indeed.com/rc/clk?jk=93b18e577199b7b3&fccid=142783ac2edbe56b&vjs=3
253,Seattle,Administrative Assistant,Transportation Security Administration,"Seattle, WA","Answer requests from and provide advice to employees, supervisors, timekeepers, financial management specialists, and human resource specialists on rules,...",,http://indeed.com/rc/clk?jk=725ea661b8b59d1f&fccid=e86212ad9b1d3808&vjs=3
254,Seattle,HR Business Partner,Zillow Group,"Seattle, WA","Act as liaison between employees and management to answer questions or concerns regarding company policies, practices and regulations....",,http://indeed.com/rc/clk?jk=727f12c0c8cedcfb&fccid=913e1b259c8d65e2&vjs=3
